A, [a]
N, [n]
ā, [aː]
Ae, [æ]
O, [o]
ē, [eː]
C, [ʧ]
P, [p]
āē, [æː]
E, [e]
Q, [ʔ]
ī, [iː]
H, [h]
S, [s~ʃ]
ō, [oː]
I, [i]
T, [t]
ū, [uː]
K, [k]
U, [u]
ia, [ia]
L, [l]
W, [w]
ua, [ua]
M, [m]
Y, [j]
