ر, [r]
ط, [tʼ]
ﻙ, [k]
ذ, [z/dz]
ض, [z]
ڨ, [qʼ]
د, [d]
ص, [s]
ﻕ, [q]
ي, [j]
وٓ, [ɥø/yø]
یا, [jæ]
خ, [x]
ش, [ʃ]
ڮ, [kʼ]
لا, [lə]
ووٓ\وٓ, ووٓ\وٓ
wo\uo], wo/uo]
یا،, [ja]
ح, [ʜ]
س, [s]
ڤ, [q]
ﻩ, [h]
ی, [j]
یو, [jy]
ج, [ʒ/dʒ]
ڃ, [tʃʼ]
ڢ, [p’]
و, [v]
ی, [ɪ]
یو, [ju]
ث, [s]
چ, [tʃ]
ﻑ, [p/f]
ﻥ, [n]
یوٓ, [jo]
اە, [e]
ت, [t]
ڗ, [ts’]
ﻍ, [ɣ]
ﻡ, [m]
ە, e
je\ie], je/ie]
ئ, [ʔ]
ب, [b]
ڔٜ, [ts]
ع, [ʡ/ˤ]
ﻝ, [l]
ا, [æ/æː]
و, [y]
ا, [ə/ɑː]
ز, [z/dz]
ظ, [ɡ]
ا\آ, [ə/ɑː]
و, [uʊ]
