अ, [ə]
प, [a]
पा, [i]
पि, [i]
पी, [u]
पु, [u]
पू, [ru]
पृ, [e]
पे, [əi]
पै, [o]
पो, [əu]
पौ, [əⁿ]
पं, [əh]
पः, [æ]
आँ, [ɔ]
