a, [a]
u, [u]
â, [ɑ]
y, [y]
ä, [ɒ]
ã, [ɑ̃]
e, [e]
ẽ, [ɛ̃]
ê, [ɛ]
ĩ, [ĩ]
ë, [ə]
õ, [ɔ̃]
i, [i]
ũ, [ũ]
o, [o]
ỹ, [ỹ]
ô, [ɔ]
