A a,a,[a],
K k,ke,[k],
S s,es,[s],
ae,[aj],
B b,bi,[b],
L l,el,[l],
T t,ti,[t],
ao,[əʊ],
E e,e,[e/ɛ],
M m,em,[m],
U u,u,[u],
F f,ef,[f],
N n,en,[n],
V v,vi,[v],
G g,ge,[g],
Ng ng,eng,[ŋ],
W w,we,[w],
H h,ets,[h],
O o,o,[o],
Y y,ye,[j],
I i,i,[i],
P p,pi,[p],
J j,je,[ʧ~dʒ],
R r,ar,[ɾ],

