𐊠,a,[a],
𐊪,m,[m],
𐊵,n,[n],
𐋄,ŋ/ng,[ŋ],
𐊡,b,[β],
𐊜,n,[n],
𐋉,ŕ/rr,[r],
𐋌/𐋍,b/β,[β],
𐊫,o,[o],
𐊷,p,[p],
𐋆,c,𐋐/𐋈,ü,[y],
𐊸,ś,𐋇,τ/tt,[tʲ],
𐊢/Ϲ,d,[d],
𐌓,t,[t],
Θ,ś,𐊶,τ/tt,[tʲ],
𐊬,b,[b],
𐋏,e,[e],
𐋊/𐋋,b,[β],
𐊣,l,[l],
𐊯,š,[ʃ],
𐊹,i,[i],
𐊭,t,[t],
𐊽,k,[k],
𐋎,l,[λ],
𐊤,ü/y,[y],
𐊰,s,[s],
𐊺,e,[e],
𐤭/𐌓,š,[ʃ],
𐋀,γ/g,[g],
𐊥,r,[r],
𐊱,c, ?,𐊼,k,[k],
𐌃/𐤧,š,[ʃ],
𐋃,z,𐋏,l,[λ],
𐊲,u,[u],
𐊾,δ/d,[ð],
𐊮/Ϸ,š,[ʃ],
𐊻,ý/y,[j],
𐊨,q,[q],
𐊳,ñ/nn,[ɲ],
𐋁,γ/g,[g],
V,u,[u],
𐊿/Ш,w,[w],
Γ,b,[b],
𐊴,k̂/kh,[x],
𐋂,z,𐊛,k̂/kh,[x],
𐋅/𐊑,j/i,[i],

