ش,shiin,sh,[ʃ],
ي,ya,y,[j],
ﻭٓ,uu,[uː],
س,siin,s,[s],
و,waw,w,[w],
أو,oo,[ɞː/ɔː],
ف,fa,f,[f],
ل,laan,l,[l],
آ,aa,[æː/ɑː],
ء,alef,’,[ʔ],
ر,ra,r,[r],
أى,ee,[eː/ɛː],
ق,qaff,q,[ɢ],
ن,nun,n,[n],
ىٓ,ii,[iː],
ك,kaaf,k,[k],
م,miim,m,[m],
و,u,[ʉ/u],
غ,ghayn,g,[g],
ج,jeem,j,[tʃ],
ٸ,o,[ɞ/ɔ],
ط,dha,dh,[ɖ],
ه,ha,h,[h],
ﺍ,a,[æ/ɑ],
ت,ta,t, [t],
ح,xa,ch,[ħ],
ﺉ,e,[e/ɛ],
د,deel,d,[d],
ع,ayn,c,[ʕ],
ى,i,[i/ɪ],
ب,ba,b,[b],
خ,kha,kh,[χ],

