𑀓,ka,[kə],
𑀝,ṭa,[ʈə],
𑀧,pa,[pə],
𑀬,ya,[jə],
𑀔,kha,[kʰə],
𑀞,ṭha,[ʈʰə],
𑀨,pha,[pʰə],
𑀭,ra,[rə],
𑀕,ga,[gə],
𑀟,ḍa,[ɖə],
𑀩,ba,[bə],
𑀮,la,[lə],
𑀖,gha,[gʰə],
𑀠,ḍha,[ɖʰə],
𑀪,bha,[bʱə],
𑀯,va,[ʋə],
𑀗,ṅa,[ŋə],
𑀡,ṇa,[ɳə],
𑀫,ma,[mə],
𑀰,śa,[ɕə],
𑀘,ca,[cə],
𑀢,ta,[t̪ə],
𑀱,ṣa,[ʂə],
𑀙,cha,[cʰə],
𑀣,tha,[t̪ʰə],
𑀲,sa,[sə],
𑀚,ja,[ɟə],
𑀤,da,[d̪ə],
𑀳,ha,[ɦə],
𑀛,jha,[ɟʰə],
𑀥,dha,[d̪ʰə],
𑀴,ḷa,[ɭə],
𑀜,ña,[ɲə],
𑀦,na,[nə],

