𑳀,a,[a],
𑳁,k,[k],
𑳋,th,[tʰ],
𑳕,z,[z],
𑳟,ā,[aː],
𑳂,kh,[kʰ],
𑳌,d,[d],
𑳖,y,[j],
𑳠,i, e,[i/e],
𑳃,g,[g],
𑳍,n,[n],
r,[r],
,u,[u],
𑳄,č,[tʃ],
𑳎,p,[p],
𑳘,l,[l],
𑳢,o,[o],
𑳅,čh,[tʃʰ],
𑳏,ph,[pʰ],
𑳙,š,[ʃ],
𑳣,𑳆,j,[dʒ],
𑳐,b,[b],
𑳚,s,[s],
𑳇,ṭ,[ʈ],
𑳑,m,[m],
𑳛,h,[h],
𑳈,ḍ,[ɖ],
𑳒,c,[ts],
𑳜,q,[q],
𑳉,ṛ,[ɽ],
𑳓,ch,[tsʰ],
𑳝,x,[x],

