A a,a,[a],
G g,ge,[g],
Mb mb,[m͡b],
Ŋ ŋ,ɛŋ,[ŋ],
V v,ve,[v],
B b,be,[b],
Gb gb,gbe,[ɡ͡b],
Mgb mgb,[m͡gb],
O o,o,[o],
W w,uwe,[w],
D d,de,[d],
H h,ha,[h],
Mv mv,[m͡v],
Ɔ ɔ,ɔ,[ɔ],
Y y,je,[j],
Dz dz,dze,[ʣ],
I i,i,[i],
N n,ɛn,[n/n̩],
P p,pe,[p],
Z z,ze,[z],
E e,e,[e],
K k,ka,[k],
Nd nd,[n͡d],
R r,ɛʀ,[ʀ~x],
Ə ə,ə,[ə],
Kp kp,kpe,[k͡p],
Ndz ndz,[n͡dz],
U u,u,[u],
Ɛ ɛ,ɛ,[ɛ],
L l,ɛl,[l],
Ng ng,[n.g],
T t,te,[t],
F f,ɛf,[f],
M m,ɛm,[m/m̩],
Ny ny,[ɲ],
S s,ɛs,[s],

