A a,a,[ɑ],
J j,jota,[ʒ],
S s,es,[s/z],
B b,be,[b],
K k,ka, [k],
T t,te,[t],
C c,ce,[k/ts],
L l,el,[l],
U u,u,[u],
D d,de,[d],
M m,em,[m],
V v,ve,[v],
E e,e,[e],
N n,en,[n],
W w,duple ve,[w],
F f,ef,[f],
O o,o,[o],
X x,ix,[ks],
G g,ge,[g],
P p,pe,[p],
Y y,ypsilon,[i],
H h,ha, [h],
Q q,qu,[k],
Z z,zeta,[z],
I i,i,[i],
R r,er,[r],

