က,k,[k],
ထ,ht,[tʰ],
ဝ,w,[w],
အ,a,[ə],
အၢ်,a̱,[˩],
ခ,kh,[kʰ],
ဒ,d,[d],
သ,th,[θ],
အါ,a,[a],
ဂ,gh,[gʰ],
န,n,[n],
ဟ,h,[h],
အံ,i,[i],
အာ်,ạ,[˥ʔ],
ဃ,ch,[x],
ပ,p,[p],
အ,vowel,carrier,အၢ,ö,[ø],
င,ng,[ŋ],
ဖ,hp,[pʰ],
ဧ,hh,[ɦ],
အု,ü,[y],
အး,ä,[˦ʔ],
စ,s,[s],
ဘ,b,[b],
အူ,u,[u],
ဆ,hs,[sʰ],
မ,m,[m],
အ့,e,[e],
အၣ်,à,[˥˩],
ၡ,sh,[ʃ],
ယ,y,[j],
အဲ,è,[ɛ],
ည,ny,[ɲ],
ရ,r,[r],
အိ,o,[o],
အၤ,ā,[˩˧],
တ,t,[t],
လ,l,[l],
အီ,aw,[ɔ],

