خ,x,[χ],
ض,ḑ,[ðˤ],
ڨ,g,[g],
ـُو,ù,[u:],
ح,ḥ/ħ,[ħ],
ص,ṣ,[sˤ/zˤ],
ﻕ,q,[q],
ي,y,[j/j:],
ــُـ,u,[u],
ج,j,[ʒ],
ش,š/ċ,[ʃ],
ڥ,v,[v],
ﻭ,w,[w/w:],
ـُو,ò,[o:],
پ,p,[p],
س,s,[s/z/sˤ],
ﻑ,f,[f/v],
ﻩ,h,[h/ħ],
ــُ,o,[o],
ث,ŧ,[θ],
ز,z,[z/zˤ/s],
ﻍ,ğ/ġ,[ʁ],
ﻥ,n,[n/m/ŋ/l/r],
ـِي,ì,[i:],
ت,t,[t],
ر,r,[r],
ع,għ,[ʕ],
ﻡ,m,[m/mˤ],
ــِـ,i,[i],
ب,b,[b/bˤ/p],
ذ,đ,[ð],
ظ,ṭ,[ðˤ],
ﻝ,l,[l/lˤ],
آ\ـَا,à,[ɑ:],
ا,’,[ʔ],
د,d,[d],
ط,ṭ/ŧ,[tˤ],
ﻙ,k,[k],
ــَـ,a,[ɑ],

