A a,a,[a],
J j,jota,[j/x/ʝ/ɟ],
R r,erre,[ɾ/r],
dd,[ɟ],
B b,be,[b/β],
K k,ka, [k],
S s,ese,[s̺],
ll,[ʎ],
C c,ze,[k/s̻],
L l,ele,[l],
T t,te,[t],
rr,[r],
D d,de,[d/ð],
M m,eme,[m],
U u,u,[u/u̯],
ts,[ts̺],
E e,e,[e],
N n,ene,[n],
V v,uve,[b/β],
tt,[c],
F f,efe,[f],
Ñ ñ,eñe,[ɲ],
W w,uve bikoitza,[u̯],
tx,[ʧ],
G g,ge,[g/ɣ],
O o,o,[o],
X x,ixa,[ʃ],
tz,[ts̻],
H h,hatxe,[Ø/h],
P p,pe,[p],
Y y,i grekoa,[i/i̭],
I i,i,[i/i̭],
Q q,ku,[k],
Z z,zeta,[s̻],

