А а,a,[a/ɒ],
Й й,j,[j],
П п,p,[p],
Щ щ,šč,[ʆƫʆ],
Б б,b,[ß],
К к,k, [k/q],
Р р,r,[r],
Ъ ъ,”,В в,v,[v],
Л л,l,[l],
С с,s,[s~ʃ],
Ы ы,y,[ɨ/ɨ̞],
Г г,g,[g/ɣ],
М м,m,[m],
Т т,t,[tʰ],
Ь ь,’,[ʲ],
Д д,d,[d],
Н н,n, [n],
У у,u,[u/u̞],
Э э,ė/e,[e/ə],
Е е,e/je,[i̯eː],
НГ нг / Ӈ ӈ,ng / ṅ/ṇ/ng,[ŋ],
Ф ф,f,[f],
Ю ю,ju,[ju],
Ё ё,ë/jo,[i̯o],
Х х,x/ĥ/h,[h/x],
Я я,ja,[ja:],
Ж ж,ž,[ʒ],
О о,o,[o̞],
Цц,c,[ʦ],
З з,z,[z],
Ө ө,ŏ/ö,[o̯~ʊ̯],
Ч ч,č,[ʧ],
И и,i,[i/i̞],
Ӫ ӫ,ọ̆/ő,[ø̯~ʏ̆],
Ш ш,š,[ʃ],

