A a,a,[a],
Ĥ ĥ,ĥo,[x],
R r,ro,[r/ɾ],
aj,[ai̯],
B b,bo,[b],
I i,i,[i],
S s,so,[s],
aŭ,[au̯],
C c,co,[ʦ],
J j,jo,[j],
Ŝ ŝ,ŝo,[ʃ],
ej,[ei̯],
Ĉ ĉ,ĉo,[ʧ],
Ĵ ĵ,ĵo,[ʒ],
T t,to,[t],
eŭ,[eu̯],
D d,do,[d],
K k,ko, [k],
U u,u,[u],
oj,[oi̯],
E e,e,[e],
L l,lo,[l],
Ŭ ŭ,ŭo,[u̯],
uj,[ui̯],
F f,fo,[f],
M m,mo,[m],
V v,vo,[v],
G g,go,[g],
N n,no,[n],
Z z,zo,[z],
Ĝ ĝ,ĝo,[ʤ],
O o,o,[o],
H h,ho,[h],
P p,po,[p],

