دج,ǧ/dj,[d͡ʒ],
ط,ṭ,[tˤ],
م,m,[m],
د\ذ,d,[d/ð],
ض,ḍ,[ðˤ],
ل,l,[l/lˤ],
خ,x,[χ],
ص,ṣ,[sˤ],
گ,g,[g],
يْ,y,[j],
ح,ḥ,[ħ],
تش,č,[ʧ],
ک,k,[k],
ي/ ِ,i,[i],
ج,j,[ʒ],
ش,c,[ʃ],
ق,q,[q/qʷ/ɢ],
وْ,w,[w],
ت\ث,t,[t/θ],
س,s,[s],
ف,f,[f],
و,w,[w],
ب,b,[β],
ز\ژ,z,[z/zˤ],
غ,ɣ/gh,[ɣ],
هـ,h,[h],
ا,a,[æ],
ر,r,[r~l/rˤ],
ع,ɛ/â,[ʕ],
ن,n,[n],

