A a,a,[a],
I i,i,[i],
S s,sé,[s],
ɗy,[ʄ̵],
mb,B b,bé,[b],
K k,ké, [k],
T t,té,[t],
dj,sh,Ɓ ɓ,ɓé,[ɓ],
L l,lé,[l],
U u,ou,[u],
dh,sw,D d,dé,[d],
M m,mé,[m],
V v,vé,[v],
dhw,th,Ɗ ɗ,ɗé,[ɗ],
N n,né,[n],
W w,wé,[w],
dr,tr,E e,é,[e],
N̈ n̈,n̈é,[ŋ],
Y y,yé,[j],
dw,ts,F f,fé,[f],
O o,o,[o],
Z z,zé,[z],
dz,tw,G g,gué,[g],
P p,pé,[p],
nd,vh,[β],
H h,hé,[h],
R r,ré,[r],
ndj,ny,
