ಕ,ka,[kɒ],
ಟ,ṭa,[ʈɒ],
ಪ,pa,[pɒ],
ಶ,śa,[çɒ],
ಖ,kha,[kʰɒ],
ಠ,ṭha,[ʈʰɒ],
ಫ,pha,[pʰɒ],
ಷ,ṣa,[ʂɒ],
ಗ,ga,[gɒ],
ಡ,ḍa,[ɖɒ],
ಬ,ba,[bɒ],
ಸ,sa,[sɒ],
ಘ,gha,[gʱɒ],
ಢ,ḍha,[ɖʱɒ],
ಭ,bha,[bʱɒ],
ಹ,ha,[hɒ],
ಙ,ṅa,[ŋɒ],
ಣ,ṇa,[ɳɒ],
ಮ,ma,[mɒ],
ಳ,ḷa,[ɭa],
ಚ,ca,[cɒ],
ತ,ta,[tɒ],
ಯ,ya,[jɒ],
ಱ,ḻa,[ɭa],
ಛ,cha,[cʰɒ],
ಥ,tha,[tʰɒ],
ರ,ra,[ɾɒ],
ೞ,ḻa,[ɭa],
ಜ,ja,[ɟɒ],
ದ,da,[dɒ],
ಲ,la,[lɒ],
ಝ,jha,[ɟʱɒ],
ಧ,dha,[dʱɒ],
ವ,va,[ʋɒ],
ಞ,ña,[ɲɒ],
ನ,na,[nɒ],

