अ,a,[ʌ],
प,pa,आ,ā,[a],
पा,pā,इ,i,[i],
पि,pi,ई,ī,[iː],
पी,pī,उ,u,[u],
पु,pu,ऊ,ū,[uː],
पू,pū,ए,e, ē,[e],
पे,pe/pē,ऐ,ai,[æ],
पै,pai,ओ,o, ō,[o],
पो,po/pō,औ,au,[u],
पौ,pau,अं,aṅ,[ʌŋ],
पं,paṅ,अः,aḥ,[ʌh],
पः,paḥ,अँ,ãṃ,[ã],
पाँ,pāṃ,
