A a,aa,[ɑː],
#,K k,kaa, [kɑː],
T t,tee,[teː],
F f,eff,[eff],
C c,tsee,[ʦeː],
B b, bee,[beː],
L l,ell,[ell],
U u,uu,[uː],
Š š,ša,[ʃɑː],
Q q,kuu,[kuː],
D d,dee,[deː],
M m,emm,[emm],
V v,vee,[veː],
Z z,zee,[seː],
W w,kaksisvee,[kaksisveː],
E e,ee,[eː],
N n,enn,[enn],
Õ õ,õõ,[ɤː],
Ž ž,žee,[ʃeː],
X x,ikks,[ikks],
G g,gee,[geː],
O o,oo,[oː],
Ä ä,ää,[æː],
Y y,üpsilon,[ypsilon],
H h,haa, [hɑː],
P p,pee,[peː],
Ö ö,öö,[øː],
I i,ii,[iː],
R r,err,[err],
Ü ü,üü,[yː],
J j,jott,[jott],
S s,ess,[ess],

