ᄀ,k,[k/k̚],
ᄊ,ss,[s'],
ᅡ,a,[a],
ᅭ,jo,[jo],
ᄁ,kk,[k'],
ᄋ,ng,[ŋ],
ᅢ,ɛ,[ɛ],
ᅮ,u,[u],
ᄂ,n,[n],
ᄌ,j,[ʨ/ʥ],
ᅣ,ja,[ja],
ᅱ,wi,[wi],
ᄃ,t/d,[t/d],
ㅉ,cc,[ʧ'],
ᅥ,eo,[ʌ],
ᅳ,eu,[ɯ],
ᄄ,tt,[t'],
ᄎ,ch,[ʨʰ],
ᅦ,e,[e],
ᅵ,i,[i/ɯ],
ᄅ,l,[l/ɾ],
ᄏ,k,[kʰ],
ᅧ,jʌ,[jʌ],
ㆍ,ɒ,[ɒ],
ᄆ,m,[m],
ᄐ,t,[tʰ],
ᅨ,je,[je],
ᄇ,b/p,[b/p/p̚],
ᄑ,p,[pʰ],
ᅩ,o,[o],
ᄈ,pp,[p'],
ᄒ,h,[h],
ᅪ,wa,[wa],
ᄉ,s,[s/ɕ],
ᅫ,wɛ,wɛ,
