ᄀ,기역,giyeok,g/k,k/g,[k/g],
ᄇ,비읍,biəp,b/p,p/b,[p/b],
ᄎ,치읓,chiət,ch,ch’,[ʧʰ],
ᄁ,쌍 기역,ssang giyeok,kk,kk,[k*],
ᄈ,쌍 비읍,ssang biəp,pp,pp,[p*],
ᄏ,키읔,kiuek,k,k’,[kʰ],
ᄂ,니은,niən,n,n,[n],
ᄉ,시옷,shiot,s,s,[s],
ᄐ,티읕,tiət,t,t’,[tʰ],
ᄃ,디귿,digət,d/t,t/d,[t/d],
ᄊ,쌍 시옷,ssang shiot,ss,ss,[s*],
ᄑ,피읖,piəp,p,p’,[pʰ],
ᄄ,쌍 디귿,ssang digət,tt,tt,[t*],
ᄋ,이응,iəng,ng, -ng,[Ø/-ŋ],
ᄒ,히읗,hiət,h,h,[h],
ᄅ,리을,riəl,l,l/r,[l/r],
ᄌ,지읒,jiət,j,ch/j,[ʧ/ʤ],
ᄆ,미음,miəm,m,m,[m],
ㅉ,쌍 지읒,ssang jiət,jj,tch,[ʧ*],

