А а,a,[a],
Л л,l,[l/ʎ],
Ц ц,c,[ʦ/ʨ],
Б б,b,[b],
М м,m,[m],
Ч ч,č,[ʧ],
В в,v,[v],
Н н,n,[n/ɲ],
Ш ш,š,[ʃ],
Г г,g,[g],
нг,ng,[ŋ],
Щ щ,šč,[ʆƫʆ],
Д д,d,[d/d̡],
О о,o,[o],
Ъ ъ,”,[(j)],
Е е,e/je,[ʲe/je],
П п,p,[p],
Ы ы,y,[ɪ],
Ё ё,ë/jo,[ʲo/jo],
Р р,r,[r/rʲ],
Ь ь,’,[ʲ],
Ж ж,ž,[ʒ],
С с,s,[s/s̡],
Э э,ė/e-,[ɛ],
З з,z,[z/z̡],
Т т,t,[t/ƫ],
Ю ю,ju,[ʲu/ju],
И и,i,[i],
У у,u,[u],
Я я,ja,[ʲa/ja],
Й й,j,[j/-ĭ],
Ф ф,f,[f],
ä,æ,[æ],
К к,k,[k],
Х х,h/ĥ/ẖ,[x],
ə,ĕ,[ə],

