अ,a,[a],
इ,i,[i],
क,ka,[k],
त,ta,[t],
श,ša,[ʃ],
आ,ā,[aː],
ई,ī,[iː],
ख,kha,[kʰ],
थ,tha,[tʰ],
स,sa,[s],
अॅ,ɔ,[ɔ],
उ',ɨ,[ɨ],
ग,ga,[g],
द,da,[d],
ह,ha,[h],
ऑ,ɔ̄,[ɔː],
ऊ',ɨ̄,[ɨː],
च,ča,[t͡ʃ],
न,na,[n],
ਜ਼,za,[z],
अॖ,e,[e],
उ,u,[u],
छ,čha,[t͡ʃʰ],
प,pa,[p],
अॗ,ē,[eː],
ऊ,ū,[uː],
ज,ja,[d͡ʒ],
फ,pha,[pʰ],
अ',ə,[ə],
ओ',o,[o],
च़,ca,[t͡s],
ब,ba,[b],
आ' ,ə̄,[əː],
ओ,o,[oː],
छ़,cha,[t͡sʰ],
म,ma,[m],
ज़,za,[z],
य,ya,[j],
ट,ṭa,[ʈ],
र,ra,[r],
ठ,ṭha,[ʈʰ],
ल,la,[l],
ड,ḍa,[ɖ],
व,wa,[w],

