𐤨,k,[k/g],
𐤱,f,[f],
𐤧,y,?,𐤰,u,[u],
𐤹,c,[dz],
𐤦,i,[i],
𐤯,t,[t/d],
𐤸,ν,[ɲ/ŋ],
𐤥,v,[v],
𐤮,ś,[s],
𐤷,λ,[ʎ],
𐤤,e,[eː],
𐤭,r,[r],
𐤶,ẽ,[ẽ],
𐤣,d,[ð/z],
𐤬,o,[oː],
𐤵,ã,[ã],
𐤢,g,[g],
𐤫,n,[n],
𐤴,tt,[s/tʃ],
𐤡,b,[p/b],
𐤪,m,[m],
𐤳,s,[ç/ʃ],
𐤠,a,[a],
𐤩,l,[l],
𐤲,q,[kʷ],

