ࡈ,att,ṭ,[t̴],
ࡑ,asz,ṣ,[s̴],
ࡇ,it, - ẖ,[ħu],
ࡐ,ap,p,[p/f],
ࡆ,az,z,[z],
ࡏ,in,ʿ,[iː/e],
ࡘ,ain,ࡅ,ushenna,w/u,[o/u/ū,
w/v],ࡎ,as,s,[s],
ࡗ,kad,ࡄ,ah,h,[h],
ࡍ,an,n,[n],
ࡖ,dushenna,ḏ-,[d],
ࡃ,ad,d,[d/ð],
ࡌ,am,m,[m],
ࡕ,at,t,[t/θ],
ࡂ,ag,g,[g/ɣ],
ࡋ,al,l,[l],
ࡔ,ash,š/sh,[ʃ],
ࡁ,ab,b,[b/β],
ࡊ,ak,k,[k/χ],
ࡓ,ar,r,[r],
ࡀ,halqa,a,[æ/a/,
aː],ࡉ,aksa,y/i,[e/i/,
iː/j],ࡒ,aq,q,[q],
ࡀࡁࡂ,Mandaic,Font: Noto Sans Mandaic,
