ܟܟ ܟ,ܟܵܦ,kap,k/ḵ/kh,[k/x],
ܬ,ܬܵܘ,taw,t/ṯ/th,[t],
ܝ,ܝܘܿܖ݀,yodh,y,[j],
ܫ,ܫܝܼܢ,sheen,sh,[ʃ],
ܛ,ܛܹܝܬܼ,ṭéith,ṭ,[t],
ܪ,ܪܹܫ,résh,r,[r],
ܚ,ܚܹܝܬܼ,ḥéith,ḥ,[ħ],
ܩ,ܩܘܿܦ,qop,q,[q],
ܙ,ܙܲܝܢ,zâyn,z,[z],
ܨ,ܨܵܕܹܐ,ṣadhé,ṣ,[s̴],
ܘ,ܘܵܐܘ,waw,w,[w],
ܦ,ܦܹܐ,pé,p/p̄/ph,[p/f],
ܗ,ܗܹܐ,hé,h,[h],
ܥ,ܥܹܐ,˂ain,˂,[ʕ],
ܕ,ܕܵܠܲܬܼ,dalâth,d/ḏ/dh,[d/ð],
ܣ ܤ,ܣܸܡܟܲܬܼ,simkâth,s,[s],
ܓ,ܓܿܡܲܠ,gamâl,g/ḡ/gh,[g/ɣ],
ܢܢ ܢ,ܢܘܼܢ,nun,n,[n],
ܒ,ܒܹܝܬܼ,béith,b/ḇ/bh,[b/v],
ܡܡ ܡ,ܡܝܼܡ,meem,m,[m],
ܐ,ܐܵܠܲܦ,alâp,˃,[ʔ],
ܠ,ܠܵܡܲܖ݀,lamâdh,l,[l],

