`C,a,[a],
IE,ae,[aːɨ],
w,b,[b],
j,l,[l],
gP,ngh,[ŋŋ̊],
`V,e,[ɛ],
hE,ai,[aɪ],
z,c,[k],
m,ll,[ɬ],
tP,mh,[mm̥],
`B,i,[ɪ],
au,[aɨ],
c,ch,[x],
t,m,[m],
5P,nh,[nn̥],
`N,o,[ɔ],
.E,aw,[au],
d,[d],
n,[n],
`M,u/y,[ɨ/i],
hF,ei,[əi],
4,dd,[ð],
q,p,[p],
eu/ey,[əɨ],
r,f,[v],
r,[r],
`Ë,y,[ə],
ew,[ɛu],
e,ff/ph,[f],
u,rh,[r̥],
~C,â,[aː],
iw,[ɪu],
x,g,[g],
s,[s],
~V,ê,[eː],
oe,[ɔɨ],
g,ng,[ŋ],
t,[t],
~B,î,[iː],
oi,[ɔi],
9,h,[h],
3,th,[θ],
~N,ô,[oː],
uw/yw,[ɨu],
~M,û/ŷ,[ɨː/iː],
wy,[ʊɨ],

