ᮃ,a,[ɑ],
ᮊ,ka,ᮊᮁ,kar,ᮆ,é,[ɛ],
ᮦᮊ,ké,ᮊᮀ,kang,ᮄ,i,[i],
ᮊᮤ,ki,ᮊᮢ,kra,ᮇ,o,[ɔ],
ᮊᮧ,ko,ᮊᮣ,kla,ᮅ,u,[u],
ᮊᮥ,ku,ᮊᮡ,kya,ᮈ,e,[ə],
ᮊᮨ,ke,ᮊᮂ,kah,ᮉ,eu,[ɤ],
ᮊᮩ,keu,ᮊ᮪,k,
