A a,a,[a],
G g,gā,[g],
Ļ ļ,eļ,[ʎ],
T t,tē,[t],
Ā ā,garais ā,[aː],
Ģ ģ,ģē,[ɟ],
M m,em,[m],
U u,u,[u],
B b,bē,[b],
H h,hā, [x],
N n,en,[n],
Ū ū,garais ū,[uː],
C c,cē,[ts],
I i,i,[i],
Ņ ņ,eņ,[ɲ],
V v,vē,[v],
Č č,čē,[ʧ],
Ī ī,garais ī,[iː],
O o,o,[ɔ/uɔ],
Z z,zē,[z],
D d,dē,[d],
J j,jē,[j],
P p,pē,[p],
Ž ž,žē,[ʒ],
E e,e,[ɛ/e],
K k,kā, [k],
R r,er,[r],
Ē ē,garais ē,[ɛː/eː],
Ķ  ķ,ķē, [c],
S s,es,[s],
F f,ef,[f],
L l,el,[l],
Š š,eš,[ʃ],

