A a,ā,[ɑ/a],
Ng ng,ngā,[ŋ],
E e,ē,[e/ɛ],
O o,ō,[ɒ/o],
F f,fā,[f],
P p,pā,[p],
H h,hā,[h/x],
S s,sā,[s],
I i,ī,[i],
T t,tā,[t],
K k,kā,[k],
U u,ū,[u],
L l,lā,[l],
V v,vā,[v],
M m,mā,[m],
’,fakau'a,[ʔ],
N n,nā,[n],

