`,ا,`Dje,[ʔ~aː],
ذ,4`j,[ð],
S,ظ,S`a,[ðˁ],
ن,[n],
w,ب,w`a,[b],
ر,7`a,[r~rˁ],
s,ع,sl5,[ʕ~ʢ̰],
ه,9`a,[h],
ت,1`a,[t],
ز,,`l,[z],
v,غ,vl5,[ʁ~ɣ],
y/.,و,y`.,[w~uː],
ث,3`a,[θ],
i,س,il5,[s],
e,ف,e`a,[f],
h/l,ي,h`a,[j~iː],
 f,ج,flt,[ʤ~ʒ],
d,ش,dl5,[ʃ],
Z,ق,Z`e,[q],
ة,1`a,t7w.!6,[Ø~t],
n,ح,n`a,[ħ~ʜ],
A,ص,A`2,[sˁ],
z,ك,z`e,[k],
a,ء,9t,6,[ʔ],
c,خ,c`a,[χ~x],
@,ض, @`2,[dˁ~zˁ],
j,ل,jt,[l~ɫ],
~,ى,`Eje,tZA.76,[aː],
د,2`j,[d],
!,ط,!`a,[tˁ],
t,م,tlt,[m],
m,لا/لى,mt,`Eje,[laː],

