ཀ,k,[k],
ཐྲ,thr,[ʈɾʰ],
ཝ,w,[w],
ཨ,a,[a],
ཁ,kh,[kʰ],
ད,d,[d],
ཞ,zh,[ʑ],
ཨེ,e,[e],
ག,g,[g],
དྲ,dr,[dr],
ཟ,z,[z],
ཨི,i,[i],
ང,ng,[ŋ],
ན,n,[n],
ཡ,j,[y],
ཨོ,o,[o],
ཅ,c,[tɕ],
པ,p,[p],
ར,r,[r],
ཨོ,ö,[œ],
ཆ,ch,[tɕʰ],
ཕ,ph,[pʰ],
ལ,l,[l],
ཨུ,u,[u],
ཇ,j,[dʑ],
བ,b,[b],
ལྷ,lh,[ɬ],
ཨུ,ü,[y],
ཉ,ny,[ɲ],
མ,m,[m],
ཤ,sh,[ɕ],
ཏ,t,[t],
ཙ,ts,[ts],
ས,s,[s],
ཏྲ,tr,[ʈɾ],
ཚ,tsh,[tsʰ],
ཧ,h,[h],
ཐ,th,[tʰ],
ཛ,dz,[dz],
ཨ,a,-,
