A a,a,[a],
Ï ï,ï,[ɪ],
Ö ö,ö,[ɔ],
Ä ä,ä,[ə],
J j,ja,[c],
R r,ra,[r],
B b,ba,[p],
L l,la,[l],
’R ’r,’ra,[t],
D d,da,[t̺],
M m,ma,[m],
T t,ta,[t],
E e,e,[e],
N n,na,[n],
U u,u,[u],
Ë ë,ë,[ɛ],
Ng ng,nga,[ŋ],
Ü ü,ü,[ʊ],
G g,ga,[k],
Ngw ngw,ngwa,[ŋʷ],
W w,wa,[w],
Gw gw,gwa,[kʷ],
Ny ny,nya,[ɲ],
Y y,ya,[j],
I i,i,[i],
O o,o,[o],
Z z,za,[s],

