𖩀,ta,তা,[ta],
𖩋,chu,চু,[cu],
𖩖,ea,ঔ,[o],
𖩁,ngi,ঙি,[ŋe],
𖩌,keaae,কৌ,[kəu],
𖩗,wa,ওয়া,[ɯa],
𖩂,yo,যু,[ʝɔ],
𖩍,ol,লান,[al],
𖩘,e,এ,[e],
𖩃,mim,মি,[mi],
𖩎,maem,মুম,[mum],
𖩙,ko,কু,[kə],
𖩄,ba,বা,[ba],
𖩏,nin,নিন,[nin],
𖩚,lan,লান,[lam],
𖩅,da,দা,[da],
𖩐,pa,পা,[pa],
𖩛,la,লা,[la],
𖩆,a,আ,[a],
𖩑,oo,ও,[u],
𖩜,hai,হাই,[hai],
𖩇,phi,ফি,[pʰi],
𖩒,o,অ,[ɔ],
𖩝,ri,রী,[ri],
𖩈,khai,খৈ,[kʰəj],
𖩓,ro,র,[ro/ru],
𖩞,tek,তেক,[tæk],
𖩉,hao,হাও,[hau],
𖩔,shi,সি,[ʃɪ],
𖩊,dai,দায়,[dai],
𖩕,thea,থহ,[tʰə],

