А а,a,[ɑ],
И и,i,[i],
О о,o,[o],
Х̑ х̑,х̑,[χ],
Б б,b,[b],
І і,i,[i],
П п,p,[p],
Ц ц,ts,[t͡s],
В в,v,[v],
Й й,j,[j],
Р р,r, [r],
Ч ч,ch,[t͡ʃ],
Г г,g,[g],
К к,k,[k],
С с,s,[s],
Ш ш,sh,[ʃ],
Г̑ г̑,ĝ,[ʁ],
Ҟ ҟ,q,[q],
Т т,t,[t],
Щ щ,shch,[ʃtʃ],
Д д,d,[ð],
Л л,l,[l],
У у,u,[u],
Ъ ъ,Е е,e,[e],
М м,m,[m],
Ў ў,w,[w],
Ы ы,[j],
Ж ж,zh,[ʒ],
Н н,n, [n],
Ф ф,f,[f],
Ь ь,З з,z,[z],
Ҥ ҥ,ng,[ŋ],
Х х,x,[x],

