ꤊ,ka,[ k ],
ꤖ,pha,[ pʰ ],
ꤢ,a,[ a ],
꤀,ꤋ,kha,[ kʰ ],
ꤗ,ma,[ m ],
ꤣ,oe,[ ɤ ],
꤁,ꤌ,ga,[ g ],
ꤘ,da,[ d ],
ꤤ,i,[ i ],
꤂,ꤍ,nga,[ ŋ ],
ꤙ,ba,[ b ],
ꤥ,oo,[ o ],
꤃,ꤎ,sa,[ s ],
ꤚ,ra,[ r ],
ꤢꤦ,ư,[ ɯ ],
꤄,ꤏ,sha,[ sʰ ],
ꤛ,ya,[ j ],
ꤢꤧ,e,[ ɛ ],
꤅,ꤐ,zha,[ ʑ ],
ꤜ,la,[ l ],
ꤢꤨ,u,[ u ],
꤆,ꤑ,nya,[ ɲ ],
ꤝ,wa,[ w ],
ꤢꤩ,ê,[ e ],
꤇,ꤒ,ta,[ t ],
ꤞ,tha,[ɕ/θ/s],
ꤢꤪ,o,[ ɔ ],
꤈,ꤓ,hta,[ tʰ ],
ꤟ,ha,[ h ],
ꤢ꤫,high,꤉,ꤔ,na,[ n ],
ꤠ,va,[ v ],
ꤢ꤬,low,ꤕ,pa,[ p ],
ꤡ,ca,[ tɕ ],
ꤢ꤭,mid,
