A a,a,[a],
K k,ke,[k],
S s,esi,[s],
B b,bi,[b],
kh,[kʰ],
T t,ti,[t],
C c,ci,[ʧ],
L l,li,[Ɩ/ɫ],
tch,[ʧʰ],
ch,[ʧ],
M m,emi,[m],
th,[tʰ],
D d,di,[d],
N n,eni,[n],
U u,u,[u],
E e,e,[e],
ng,[ŋg],
V v,vi,[v],
F f,efi,[f],
ng’/ŋ,[ŋ],
W w,we,[w],
G g,gi,[g],
O o,o,[o],
Ŵ ŵ,ŵi,[β],
H h,hechi,[h],
P p,pi,[p],
Z z,zi,[z],
I i,i,[i],
ph,[pʰ],
J j,ji,[ʤ],
R r,eri,[ɽ],

