Α α,a,[a/aː],
Ι ι,i,[i],
Ρ ρ,r/rh,[r],
κχ/κ̒,[kʰ],
τσχ/σ̓,[tʃ],
Β β,b,[v],
Κ κ,k,[k/c],
Σ σ ς,s,[s],
λλ/λ̣,[l],
τζ/τζ ̌ ,[tɕ/trʒ],
[tɕ/d͡ʒ],
Γ γ,g/y,[ɣ/ɲɟ],
Λ λ,l,[l/ʎ],
Τ τ,t,[t/d],
νν/ν̇,[n],
τσ,[ts/tɕ],
Δ δ,d,[ð],
Μ μ,m,[m],
Υ υ,u/y,[u/ju/y],
ου,[u/w],
Ε ε,ē,[e],
Ν ν,n,[n/ɲ],
Φ φ,ph,[f],
σχ/σ̌,[ ʃ],
Ζ ζ,z,[z],
Ξ ξ,ks/x,[ks],
Χ χ,kh/ch,[χ/ ç/x],
πφ/π̒,[pʰ],
Η η,ē,[i],
Ο ο,o,[o/u],
Ψ ψ,ps,[ps],
ρζ,[rʒ],
Θ θ,th,[θ],
Π π,p,[p],
Ω ω,ō,[o],
τθ/τ̒,[tʰ],

