କ,ka,[kɔ],
ଟ,ṭa,[ʈɔ],
ପ,pa,[pɔ],
ଲ,la,[lɔ],
ଖ,kha,[kʰɔ],
ଠ,ṭha,[ʈʰɔ],
ଫ,pha,[pʰɔ],
ଶ,śa,[sɔ],
ଗ,ga,[gɔ],
ଡ,ḍa,[ɖɔ],
ବ,ba,[bɔ],
ଷ,ṣa,[sɔ],
ଘ,gha,[gʱɔ],
ଢ,ḍha,[ɖʱɔ],
ଵ,va,[vɔ],
ସ,sa,[sɔ],
ଙ,ṅa,[ŋɔ],
ଣ,ṇa,[ɳɔ],
ଭ,bha,[bʱɔ],
ହ,ha,[hɔ],
ଚ,ca,[ʧɔ],
ତ,ta,[tɔ],
ମ,ma,[mɔ],
ୱ,wa,[wɔ],
ଛ,cha,[ʧʰɔ],
ଥ,tha,[tʰɔ],
ଯ,ya,[ʤɔ],
ଜ,ja,[ʤɔ],
ଦ,da,[dɔ],
ୟ,ẏa,[jɔ],
ଝ,jha,[ʤʱɔ],
ଧ,dha,[dʱɔ],
ର,ra,[rɔ],
ଞ,ña,[ɲɔ],
ନ,na,[nɔ],
ଳ,ḷa,[ɭɔ],

