अ,a,[ʌ],
प,pa,ऐ,ai,[æː],
पै,pai,आ,ā,[a],
पा,pā,ओ,o,[o],
पो,po,इ,i,[i],
पि,pi,औ,au,[ɔː],
पौ,pau,ई,ī,[iː],
पी,pī,अं,aṅ,[aŋ],
पं,paṅ,उ,u,[u],
पु,pu,अः,aḥ,[əh],
पः,paḥ,ऊ,ū,[uː],
पू,pū,अँ,ãṃ,[ãː],
पाँ,pāṃ,ए,e,[e],
पे,pe,ऋ,ṛ,[ṛ],
पृ,pṛ,
