A a,a,[a],
I i,i,[i],
Q q,kiu,[q/k],
Y y,ye,[j],
B b,be,[b],
J j,je,[dʒ],
R r,er,[r~ɾ],
Z z,zet,[z/s],
C c,ce,[tʃ],
K k,ka,[k],
S s,es,[s],
ng,[ŋ],
D d,de,[d],
L l,el,[l],
T t,te,[t],
ngg,[ŋg],
E e,e,[e],
M m,em,[m],
U u,u,[u],
F f,ef,[f],
N n,en,[n],
V v,ve,[β],
G g,ge,[g],
O o,o,[o],
W w,we,[w],
H h,ha,[h],
P p,pe,[p],
X x,eks,[ks],

