A a,a,[a],
H h,ha,[h],
-n,[˜-],
sh,she,[ɕ],
B b,be,[b],
I i,i,[i],
Ɲ ɲ,ɲe,[ɲ],
T t,te,[t],
C c,ce,[ʨ],
J j,je,[ʥ],
Ŋ ŋ,ɛŋ,[ŋ],
U u,u,[u],
D d,de,[d],
K k,ka,[k],
O o,o,[o],
W w,wa,[w],
E e,e,[e],
kh,[x],
Ɔ ɔ,ɔ,[ɔ],
Y y,je,[j],
Ɛ ɛ,ɛ,[ɛ],
L l,ɛl,[l],
P p,pe,[p],
Z z,ze,[z],
F f,ɛf,[f],
M m,ɛm,[m],
R r,ɛr,[r],
G g,ge,[g],
N n,ɛn,[n],
S s,ɛs,[s],

