अ,a,[ə],
प,pa,आ,ā,[a],
पा,pā,इ,i,[i],
पि,pi,ई,ī,[i],
पी,pī,उ,u,[u],
पु,pu,ऊ,ū,[u],
पू,pū,ऋ,r̥,[ru],
पृ,pr̥,ए,e,[e],
पे,pe,ऐ,ai,[əi],
पै,pai,ओ,o,[o],
पो,po,औ,au,[əu],
पौ,pau,अं,aṅ,[əⁿ],
पं,paṅ,अः,aḥ,[əh],
पः,paḥ,अँ,[æ],
आँ,[ɔ],

