A a,a,[a],
J j,ja,[ʄ],
R r,ra,[ɾ],
mph,[ᵐpʰ],
B b,ba,[ɓ],
K k,ka,[k],
S s,sa,[θ~s],
nth,[ⁿtʰ],
Ch ch,cha,[t͡ʃ],
L l,la,[l],
Sh sh,sha,[ʃ],
nkh,[ⁿkʰ],
D d,da,[ɗ],
M m,ma,[m/m̩],
T t,ta,[t],
mw,[mʲ],
E e,e,[ɛ],
N n,na,[n],
U u,u,[ʊ],
bw,[bʲ],
F f,fa,[f],
Ng ng,nga,[ŋ],
V v,va,[ʋ],
pw,[pʲ],
G g,ga,[ɠ/ɣ],
Ny ny,nya,[ɲ],
W w,wa,[w],
H h,ha,[ɦ],
O o,o,[ɔ],
Y y,ya,[j],
I i,i,[ɪ],
P p,pa,[p],
Z z,za,[ð~z],

