అ,a,[ʌ],
ౠ,ṝ,[riː/ruː],
క,ka,కౄ,kṝ,ఆ,ā,[aː],
ఎ,e,[e],
కా,kā,కె,ke,ఇ,i,[i],
ఏ,ē,[eː],
కి,ki,కే,kē,ఈ,ī,[iː],
ఐ,ai,[aj],
కీ,kī,కై,kai,ఉ,u,[u],
ఒ,o,[o],
కు,ku,కొ,ko,ఊ,ū,[uː],
ఓ,ō,[oː],
కూ,kū,కో,kō,ఋ,ṛ,[rɨ/ru],
ఔ,au,[aw],
కృ,kṛ,కౌ,kau,
