අ,a,[a/ə],
ඍ,ṛ,[ri/ru],
ආ,ā,[aː/a],
ඎ,ṝ,[riː/ruː],
ඇ,æ,[æ],
එ,e,[e],
ඈ,ǣ,[æː],
ඒ ,ē,[eː],
ඉ,i ,[i],
ඓ,ai,[aj],
ඊ,ī,[iː],
ඔ,o,[o],
උ,u,[u],
ඕ,ō,[oː],
 ඌ,ū,[uː],
ඖ,au,[ɑw],

