अ,a,[ʌ],
प,pa,आ,ā,[aː],
पा,pā,इ,i,[i],
पि,pi,ई,ī,[iː],
पी,pī,उ,u,[u],
पु,pu,ऊ,ū,[uː],
पू,pū,ऋ,ṛ,[r],
पृ,pṛ,ॠ,ṝ,[rː],
पॄ,pṝ,ऌ,ḷ,[l],
पॢ,pḷ,ॡ,ḹ,[lː],
पॣ,pḹ,ए,e,[eː],
पे,pe,ऐ,ai,[aːi],
पै,pai,ओ,o,[o],
पो,po,औ,au,[aːu],
पौ,pau,अं,aṅ,[aŋ],
पं,paṅ,अँ,aṃ,[ə],
पाँ,paṃ,अः,aḥ,[əh],
पः,paḥ,
