ཀ,ka,[ka],
ཏ,ta,[ta],
ཙ,tsa,[tsa],
ར,ra,[ra],
ཁ,kha,[kʰa],
ཐ,tha,[tʰa],
ཚ,tsha,[tsʰa],
ལ,la,[la],
ག,ga,[ga],
ད,da,[da],
ཛ,dza,[dza],
ཤ,sha,[ɕ⁠a],
ང,nga,[ŋa],
ན,na,[na],
ཝ,wa,[wa],
ས,sa,[sa],
ཅ,ca,[ʨa],
པ,pa,[pa],
ཞ,zha,[ʑa],
ཧ,ha,[ha],
ཆ,cha,[ʨʰa],
ཕ,pha,[pʰa],
ཟ,za,[za],
ཨ,a,[a],
ཇ,ja,[ʥa],
བ,ba,[ba],
འ,’a,[a],
ཉ,nya,[ɲa],
མ,ma,[ma],
ཡ,ya,[ja],

