ಕ,ka,[ka],
ಟ,ṭa,[ʈa],
ಪ,pa,[pa],
ಶ,śa,[ɕa],
ಖ,kha,[kʰa],
ಠ,ṭha,[ʈʰa],
ಫ,pha,[pʰa],
ಷ,ṣa,[ʂa],
ಗ,ga,[ga],
ಡ,ḍa,[ɖa],
ಬ,ba,[ba],
ಸ,sa,[sa],
ಘ,gha,[gʱa],
ಢ,ḍha,[ɖʱa],
ಭ,bha,[bʱa],
ಹ,ha,[ha],
ಙ,ṅa,[ŋa],
ಣ,ṇa,[ɳa],
ಮ,ma,[ma],
ಳ,ḷa,[ɭa],
ಚ,ca,[ʧa],
ತ,ta,[ta],
ಯ,ya,[ja],
ಕ್ಷ,kśa,[kʂa],
ಛ,cha,[ʧʰa],
ಥ,tha,[tʰa],
ರ,ra,[ra],
ಜ್ನ,jna,[ʤna],
ಜ,ja,[ʤa],
ದ,da,[da],
ಲ,la,[la],
ಝ,jha,[ʤʱa],
ಧ,dha,[dʱa],
ವ,va,[ʋa],
ಞ,ña,[ɲa],
ನ,na,[na],

