A a,a,[a],
J j,jóta,[ˈʒɔtɐ],
S s,ési,[ˈɛs(i)],
dj, [ʤ],
B b,be,[be],
K k,kapa,[ˈkapɐ],
T t,te,[te],
lh,[ʎ],
C c,se,[se],
L l,éli,[ˈɛl(i)],
U u,u,[u],
nh,[ɲ],
D d,de,[de],
M m,émi,[ˈɛm(i)],
V v,ve,[ve],
tx,[ʧ],
E e,é,[ɛ],
N n,éni,[ˈɛn(i)],
W w,dâbliu,[ˈdɐbliu],
F f,éfi,[ɛf(i)],
O o,ó,[ɔ],
X x,xiz,[ʃiz],
G g,jê,[ʒe],
P p,pe,[pe],
Y y,ípsilon’,[ˈipsilɔn],
H h,agá,[ɐˈɡa],
Q q,ke,[ke],
Z z,zé, [ze],
I i,i,[i],
R r,érri,[ˈɛr(i)] ,
Cape Verdean Creole,
