অ,ô,[ɔ],
ক,kô,অ('),o,[o],
ক,ko,আ,a,[a],
কা,ka,ই,hôrswô i,[i],
কি,ki ,ঈ,dirghô i,[i],
কী,ki,উ,hôrswô u,[u],
কু,ku,ঊ,dirghô u,[u],
কূ,ku,ঋ,ṛ,[ri],
কৃ,kri,এ,e,[ɛ/e],
কে,kê/ke,ঐ,ôi,[ɔj],
কৈ,kôi,ও,û,[ʊ],
কো,kû,ঔ,ôu,[ɔw],
কৌ,kôu,
