ف,F f,[f],
ں,ǋ ǌ,[ɲ],
ژ,Ž ž,[ʒ],
ه,E e,[e],
ن,N n,[n],
ز,Z z,[z],
ج,ǅ ǆ,[ʤʲ],
م,M m,[m],
و,V v,[v],
ح,Đ đ,[ʤ],
ڵ,ǈ ǉ,[ʎ],
ۆ,U u,[u],
د,D d,[d],
ل,L l,[l],
ت,T t,[t],
ح,Ć ć,[ʧʲ],
ق,K k, [k],
ش,Š š,[ʃ],
چ,Č č,[ʧ],
ي,J j,[j],
س,S s,[s],
ڄ,C c,[ts],
اى,I i,[i],
ر,R r,[r],
ب,B b,[b],
ح,H h, [h/x],
پ,P p,[p],
آ,A a,[a],
غ,G g,[g],
ۉ,O o,[o],

