A a,aa,[aː],
J j,jee,[jeː],
S s,es,[es],
B b,bee,[beː],
K k,kaa,[kaː],
T t,tee,[teː],
C c,see,[seː],
L l,el,[ɛɫ],
U u,uu,[y],
D d,dee,[deː],
M m,em,[ɛm],
V v,vee,[veː],
E e,ee,[eː],
N n,en,[ɛn],
W w,wee,[ʋeː],
F f,ef,[ɛf],
O o,oo,[oː],
X x,iks,[ɪks],
G g,gee,[ɣeː],
P p,pee,[peː],
Y y,ij,[ɛɪ],
H h,haa,[ɦaː],
Q q,kuu,[ky],
Z z,zet,[zɛt],
I i,ie,[i],
R r,er,[er],
