অ,a,[a],
ক,ka,ক,ko,ট,ṭo,প,po,আ,ā,[a],
কা,kā,খ,kho,ঠ,ṭho,ফ,pho,ই,i ,[i],
কি,ki,গ,go,ড,ḍo,ব,bo,ঈ,ī ,[i],
কী,kī ,ঘ,gho,ড়,ṛo,ভ,bho,উ,u,[u],
কু,ku,ঙ, -ṅ,ঢ,ḍho,ম,mo,ঊ,ū,[u],
কূ,kū,চ,co,ত,to,র,ro,এ,e,[ɛ],
কে,ke,ছ,cho,থ,tho,ল,lo,ও,o,[ɔ],
ক,ko,জ,jo,দ,do,স,so,ঝ,jho,ধ,dho,হ,ho,ন,no,
