Kaithi,Kaithi,अ,A,a,[ʌ],
प,p,pa,आ,À,ā,[a],
पा,pa,pā,इ,I,i,[i],
पि,ip,pi,ई,Í,ī,[iː],
पी,pí,pī,उ,U,u,[u],
पु,pu,pu,ऊ,Ú,ū,[uː],
पू,pû,pū,ए,E,e,[e],
पे,pe,pe,ऐ,Æ,ai,[æː],
पै,pY,pai,ओ,O,o,[o],
पो,po,po,औ,Ò,au,[ɔː],
पौ,pw,pau,अः,A:,aḥ,[əh],
पः,p:,paḥ,अँ,A*,ãṃ,[ãː],
पाँ,pa*,pāṃ,प्,p/,p,
