অ,a,[ ɔ, o ],
ক,ka,আ,ā,[ ɑː ],
কা,kā,ই,i ,[ i, e ],
কি,ki ,ঈ,ī,[ i ],
কী,kī,উ,u,[ u, o ],
কু,ku,ঊ,ū,[ u ],
কূ,kū,ঋ,ṛ,[ ri ],
কৃ,kṛ,এ,e,[ e, æ ],
কে,ke,ঐ,ai,[ oj ],
কৈ,kai,ও,o,[ o ],
কো,ko,ঔ,au,[ ow ],
কৌ,kau,
