A, [a]
Əw, [əw]
K̓, [kˀ]
ƛ̓, [tɬˀ]
P̓, [pˀ]
Θ, [θ]
X, [x]
Æ, [æ]
Əy, [əj]
Kʷ, [kʷ]
M, [m]
Q, [q]
Tᶿ, [tθ]
Xʷ, [xʷ]
Aw, [aw]
G, [g]
K̓ʷ, [kʷˀ]
M̓, [mˀ]
Q̓, [qˀ]
T̓ᶿ, [tθˀ]
Y, [j]
Ay, [aj]
Gʸ, [gʲ]
Kʸ, [kʲ]
N, [n]
Qʷ, [qʷ]
U, [u]
Y̓, [jˀ]
Č, [tʃ]
H, [h]
K̓ʸ, [kʲˀ]
N̓, [nˀ]
Q̓ʷ, [qʷˀ]
Ʊ, [ʊ]
ʔ, [ʔ]
Č̓, [tʃˀ]
I, [i]
L, [l]
O, [o]
S, [s]
W, [w]
E, [e]
Ɩ, [ɪ]
L̓, [lˀ]
Ɔ, [ɔ]
Š, [ʃ]
W̓, [wˀ]
Ɛ, [ɛ]
J̌, [d͡ʒ]
Ł, [ɬ]
Ɔy, [ɔj]
T, [t]
Χ, [χ]
Ə, [ə]
K, [k]
ƛ, [tɬ]
P, [p]
T̓, [tˀ]
Χʷ, [χʷ]
