د, [d]
ط, [t]
م, [m]
خ, [x~χ]
ض, [d]
ل, [l]
ء, [ʔ]
ح, [h]
ص, [s]
گ, [g]
ى, [j/i/ɯ/e]
چ, [dʒ]
ش, [ʃ]
ک, [k]
ۋ, [v]
ج, [tʃ]
تس, [ts]
ق, [q]
ۉ, [o]
ث, [s]
س, [s]
ف, [f]
ۏ, [y]
ت, [t]
ژ, [ʒ]
نگ, [ŋ]
ۊ, [ø]
پ, [p]
ز, [z]
غ, [ɣ~ʁ]
و, [w/u]
ب, [b]
ر, [r~ɾ]
ع, [ʔ]
ه, [h]
ا, [ɑ/-]
ذ, [z]
ظ, [z]
ن, [n]
