A, [a]
J, [dʒ]
S, [s]
gh, [ɣ/g]
B, [b]
K, [k]
T, [t]
kh, [k/x]
C, [tʃ]
L, [l]
U, [u]
mb, [mb]
D, [d]
M, [m]
V, [v/f]
nd, [nd]
E, [e]
N, [n]
W, [w]
ng, [ŋ]
F, [f]
O, [o]
X, [ks]
ngg, [ŋg]
G, [g]
P, [p]
Y, [j]
sy, [ʃ]
H, [h]
Q, [q/k]
Z, [z/s]
I, [i]
R, [r~ɾ]
ꞌ, [ʔ]
