અ, [ɐ~ə]
પ, [aĭ~ɛˑ~æˑ]
પૈ, [ɑˑ]
પા, [oˑ]
પો, [ɪ]
પિ, [ɐʊ̯~ɔˑ]
પૌ, [iˑ]
પી, [əŋ]
પં, [ʊ]
પુ, [əh]
પઃ, [uˑ]
પૂ, [eˑ]
પે, pe
