A, [a]
K, [k]
U, [u]
Ā, [aː]
M, [m]
Ū, [uː]
E, [e]
N, [n]
V, [v]
Ē, [eː]
O, [o]
', [ʔ]
Ng, [ŋ]
Ō, [oː]
H, [h]
P, [p]
I, [i]
R, [ɾ]
Ī, [iː]
T, [t]
