a, [a]
g, [g/g’/ɣ]
nj, [ɲ]
ts,  [ts]
ã, [ə]
h, [h]
o, [o]
u, [u]
b, [b]
i, [i/j]
p, [p]
v, [v]
c, [k/k’/ʧ]
j, [ʒ]
q, [k]
w, [w]
d, [d]
k, [k]
r, [r]
x, [ks/gz]
dh, [ð]
l, [l]
s, [s]
y, [ɣ/j]
dz, [ʣ]
lj, [ʎ]
sh, [ʃ]
z, [z]
e, [e]
m, [m]
t,  [t]
f, [f]
n, [n]
th,  [ð/θ]
